available;categoryId;currencyId;description;id;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;Мужское/Одежда/Толстовки;RUB;100% хлопок;1637525;1648026095;Хлопковая толстовка Lacoste  L!VE;22980.00;Артикул:SH7362|Категория:Толстовки|Размер:L, M, S|Цвет:фиолетовый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SH73623K0.jpg;16086.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ftolstovki-muzhchiny%2Fkhlopkovaya_tolstovka_lacoste_l_ve_4_color_3K0%2F&i=5;Lacoste
true;Мужское/Одежда/Свитеры;RUB;76% шерсть 10% полиамид 7% альпака 7% хлопок;1638375;1648026095;Свитер Lacoste;36980.00;Артикул:AH6796|Категория:Свитеры|Размер:3|Цвет:синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/AH6796PF3.jpg;25886.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsviter_lacoste_707_color_PF3%2F&i=5;Lacoste
true;Мужское/Одежда/Футболки;RUB;100% хлопок;1642134;1648026095;Хлопковая футболка Lacoste;10980.00;Артикул:TH7045|Категория:Футболки|Размер:2, 3, 4|Цвет:чёрный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/TH7045031.jpg;7686.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki-muzhchiny%2Fkhlopkovaya_futbolka_lacoste_97_color_031%2F&i=5;Lacoste
true;Мужское/Одежда/Футболки;RUB;100% хлопок;1542228;1648026095;Хлопковая футболка Lacoste;9980.00;Артикул:TH7053|Категория:Футболки|Размер:2, 3, 4, 5|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/TH7053166.jpg;6986.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki-muzhchiny%2Fkhlopkovaya_futbolka_lacoste_98_color_166%2F&i=5;Lacoste
true;Женское/Одежда/Верхняя одежда;RUB;100% полиамид;1638456;1648026095;Куртка Lacoste;54900.00;Артикул:BF7058|Категория:Верхняя одежда|Размер:36, 38, 40|Цвет:розовый|Пол:Женский;https://lacoste.ru/upload/photo/1476/BF7058CAU.jpg;38430.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fverkhnyaya-odezhda-zhenshchiny%2Fkurtka_lacoste_681_color_CAU%2F&i=5;Lacoste
true;Мужское/Одежда/Толстовки;RUB;78% хлопок 22% полиэстер;1637442;1648026095;Хлопковая толстовка Lacoste;19980.00;Артикул:SH6885|Категория:Толстовки|Размер:3, 4, 5, 6|Цвет:красный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SH68851FU.jpg;13986.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ftolstovki-muzhchiny%2Fkhlopkovaya_tolstovka_lacoste_37_color_1FU%2F&i=5;Lacoste
true;Женское/Одежда/Верхняя одежда;RUB;100% полиамид;1638460;1648026095;Куртка Lacoste;54900.00;Артикул:BF7058|Категория:Верхняя одежда|Размер:34, 36, 38, 40|Цвет:синий|Пол:Женский;;38430.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fverkhnyaya-odezhda-zhenshchiny%2Fkurtka_lacoste_681_color_QPT%2F&i=5;Lacoste
true;Мужское/Одежда/Спортивная одежда;RUB;100% хлопок;1643715;1648026095;Спортивные штаны Lacoste;15980.00;Артикул:XH7063|Категория:Спортивная одежда|Размер:5|Цвет:черный|Пол:Мужской;;11186.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsportivnaya-odezhda-muzhchiny%2Fsportivnye_shtany_lacoste_133_color_031%2F&i=5;Lacoste
true;Мужское/Одежда/Рубашки;RUB;78% полиэстер 20% вискоза 2% эластан;1638775;1648026095;Рубашка Lacoste;22980.00;Артикул:CH2225|Категория:Рубашки|Размер:39, 40, 41, 42, 43, 45|Цвет:многоцветынй|Пол:Мужской;https://lacoste.ru/upload/photo/1476/CH222525L.jpg;16086.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Frubashki-muzhchiny%2Frubashka_lacoste_480_color_25L%2F&i=5;Lacoste
true;Мужское/Обувь/Ботинки;RUB;"Детали: утолщенная подошва;\Контрастные детали;\Металлический логотип;\Вспомогательная петля на заднике;\Высокотехнологичные стельки Ortholite с антимикробным покрытием, оснащенные амортизацией и идеальной фиксацией стопы;\Состав: Верх - 40% кожа 32% воще...";1352784;1647939705;Ботинки Lacoste URBAN BREAKER;23980.00;Артикул:738CMA0058|Категория:Ботинки|Размер:7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5|Цвет:серый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/738CMA00582P9.jpg;16786.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbotinki-obuv-muzhchiny%2Fbotinki_lacoste_urban_breaker_color_2P9%2F&i=5;Lacoste
true;Мужское/Обувь/Ботинки;RUB;"Детали: утолщенная подошва;\Контрастные детали;\Металлический логотип;\Вспомогательная петля на заднике;\Высокотехнологичные стельки Ortholite с антимикробным покрытием, оснащенные амортизацией и идеальной фиксацией стопы;\Состав: Верх - 40% кожа 32% воще...";1352787;1647939705;Ботинки Lacoste URBAN BREAKER;23980.00;Артикул:738CMA0058|Категория:Ботинки|Размер:7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/738CMA0058ND1.jpg;16786.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbotinki-obuv-muzhchiny%2Fbotinki_lacoste_urban_breaker_color_ND1%2F&i=5;Lacoste
true;Мужское/Обувь/Кроссовки;RUB;Верх - 100% текстиль,подкладка - 83% текстиль (полиэстер) 77% искусственная кожа,низ - 100% резина;1354061;1647939705;Кроссовки Lacoste VITESSE RNR TD 0721 1 SMA;18980.00;Артикул:741SMA0091|Категория:Кроссовки|Размер:7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5|Цвет:белый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/741SMA0091042.jpg;13286.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkrossovki-obuv-muzhchiny%2Fkrossovki_lacoste_vitesse_rnr_td_0721_1_sma_color_042%2F&i=5;Lacoste
true;Детское;RUB;69% хлопок 31% полиэстер / 100% хлопок / 97% хлопок 3% эластан;1356747;1647939705;Хлопковая толстовка Lacoste;9980.00;Артикул:SJ2903|Категория:Толстовки|Размер:2A, 4A, 6A, 8A, 10A, 12A, 14A|Цвет:розовый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SJ2903ACR.jpg;6986.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fdeti%2Fkhlopkovaya_tolstovka_lacoste_71_color_ACR%2F&i=5;Lacoste
true;Детское;RUB;82% хлопок 18% полиэстер / 97% хлопок 3% эластан;1483884;1647939705;Хлопковая толстовка Lacoste;12980.00;Артикул:SJ1967|Категория:Толстовки|Размер:4A, 6A, 8A, 10A, 12A, 14A|Цвет:белый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SJ1967001.jpg;9086.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fdeti%2Fkhlopkovaya_tolstovka_lacoste_69_color_001%2F&i=5;Lacoste
true;Детское;RUB;100% хлопок;1514906;1647939705;Хлопковая футболка Lacoste;5980.00;Артикул:TJ1965|Категория:Футболки|Размер:2A, 3A, 4A, 5A, 6A, 8A, 10A, 12A, 14A|Цвет:чёрный|Пол:Мужской;;4186.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fdeti%2Fkhlopkovaya_futbolka_lacoste_104_color_031%2F&i=5;Lacoste
true;Детское;RUB;82% хлопок 18% полиэстер / 97% хлопок 3% эластан;1526071;1647939705;Хлопковая толстовка Lacoste;12980.00;Артикул:SJ1964|Категория:Толстовки|Размер:4A, 5A, 6A, 8A, 10A, 12A, 14A, 16A|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SJ1964166.jpg;9086.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fdeti%2Fkhlopkovaya_tolstovka_lacoste_color_166%2F&i=5;Lacoste
true;Детское;RUB;100% хлопок;1529261;1647939705;Платье Lacoste;11980.00;Артикул:EJ2816|Категория:Платья и юбки|Размер:3A, 4A, 5A, 6A, 8A, 10A, 12A|Цвет:голубой|Пол:Мужской;https://lacoste.ru/upload/photo/1476/EJ2816776.jpg;8386.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fdeti%2Fplate_lacoste_iz_khlopka_1_color_776%2F&i=5;Lacoste
