id;name;description;category;currency;price;old_price;credit_price;discount_sum;discount_percent;url;image;brand;available;gtin;mpn;model;params
3567870000229;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356787%2Fhi5542%2F;https://img.brandshop.ru/cache/products/h/hi5542-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:бежевый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:S INT"
3567870000228;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356787%2Fhi5542%2F;https://img.brandshop.ru/cache/products/h/hi5542-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:бежевый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:XS INT"
3567920000228;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356792%2Fhi5543%2F;https://img.brandshop.ru/cache/products/h/hi5543-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:серый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:XS INT"
3567920000229;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356792%2Fhi5543%2F;https://img.brandshop.ru/cache/products/h/hi5543-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:серый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:S INT"
3567920000232;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356792%2Fhi5543%2F;https://img.brandshop.ru/cache/products/h/hi5543-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:серый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:XL INT"
3567920000231;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356792%2Fhi5543%2F;https://img.brandshop.ru/cache/products/h/hi5543-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:серый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:L INT"
3567920000230;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356792%2Fhi5543%2F;https://img.brandshop.ru/cache/products/h/hi5543-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:серый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:M INT"
3568070000232;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356807%2Fhi5544%2F;https://img.brandshop.ru/cache/products/h/hi5544-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:жёлтый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:XL INT"
3568070000230;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356807%2Fhi5544%2F;https://img.brandshop.ru/cache/products/h/hi5544-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:жёлтый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:M INT"
3568070000228;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356807%2Fhi5544%2F;https://img.brandshop.ru/cache/products/h/hi5544-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:жёлтый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:XS INT"
